SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,SP11,SP12,SP13,SP14,SP15,SP16
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1
0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1
0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1
1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1
0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1
0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1
1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1
1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1
1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1
1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1
0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1
1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1
0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1
0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1
1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1
1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1
1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1
0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1
1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1
1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1
0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1
1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1
0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1
0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1
0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1
1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1
1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
